y_test,y_pred
290.0,232.4817
105.0,134.34242
70.0,74.73984
290.0,214.32703
199.0,199.0376
70.0,68.980385
94.0,72.70921
165.0,162.84312
200.0,132.86229
211.0,255.16368
279.0,276.21524
130.0,170.35567
90.0,99.27509
68.0,94.395
65.0,39.291317
45.0,56.28665
129.0,114.53339
116.0,164.90239
90.0,109.28412
65.0,49.083317
69.0,62.51392
100.0,159.36063
73.0,98.522415
143.0,65.61219
200.0,219.8389
20.0,72.34774
105.0,94.3208
80.0,86.760216
119.0,70.39851
104.0,99.51742
65.0,84.23814
96.0,181.26822
120.0,84.915855
137.0,123.75874
115.0,146.61913
160.0,124.40736
353.0,379.33206
70.0,31.73233
55.0,61.722977
109.0,76.01585
96.0,124.915344
95.0,121.37217
85.0,114.37365
120.0,74.414925
42.0,88.0534
75.0,69.12093
90.0,112.81004
139.0,158.96806
120.0,122.26308
129.0,176.85414
90.0,135.2251
85.0,132.50877
41.0,43.610027
70.0,64.4894
750.0,302.7169
160.0,190.85747
149.0,129.6979
239.0,238.82173
287.0,284.06042
31.0,66.579636
70.0,83.10315
55.0,62.155716
110.0,97.680336
80.0,87.759865
60.0,56.21509
62.0,67.73788
50.0,56.640762
35.0,64.04943
239.0,206.50807
83.0,92.56574
87.0,93.31239
112.0,64.81536
68.0,137.35738
149.0,161.26851
230.0,149.26756
65.0,84.10257
110.0,153.6269
202.0,113.68605
46.0,107.21807
80.0,77.21338
80.0,45.5362
72.0,83.81325
71.0,63.048527
90.0,53.506886
150.0,153.45941
140.0,195.268
76.0,110.69262
61.0,87.94899
130.0,104.95958
59.0,71.04265
65.0,57.60242
52.0,41.85114
143.0,105.26156
72.0,79.517365
55.0,54.89952
55.0,47.23383
86.0,90.01466
109.0,115.08685
35.0,46.790283
135.0,237.12263
139.0,150.46785
45.0,48.10373
143.0,110.16207
69.0,74.30965
100.0,107.509796
189.0,193.81717
150.0,146.4341
17.0,12.393272
121.0,92.55292
119.0,133.01671
149.0,190.62132
135.0,166.3025
98.0,96.65016
60.0,98.380714
95.0,88.224236
110.0,57.069656
160.0,188.02701
150.0,175.1043
101.0,137.149
69.0,57.214
76.0,62.802223
65.0,60.643852
100.0,142.56682
165.0,138.77278
52.0,77.10183
227.0,318.01468
52.0,52.60844
61.0,78.37444
90.0,90.08344
55.0,92.945
99.0,82.32153
75.0,68.27746
80.0,73.085945
85.0,64.16131
140.0,177.6752
30.0,29.285856
164.0,131.86897
63.0,87.0853
90.0,81.074875
56.0,70.64958
78.0,96.01923
108.0,91.696556
125.0,88.41318
150.0,171.36931
47.0,65.5452
95.0,102.85392
142.0,207.4979
222.0,160.61423
55.0,134.53963
62.0,130.4684
50.0,173.54578
